word,embedding,score,diff
microwave,0.224,-0.5,0.724
oven,0.132,-0.5,0.632
toaster,0.166,-0.5,0.666
sink,0.442,-0.8,1.242
refrigerator,0.524,-0.7,1.224
book,0.284,-0.75,1.034
clock,0.341,-0.7,1.041
vase,0.281,-0.7,0.981
scissors,0.343,-0.5,0.843
teddy bear,0.075,-0.7,0.775
hair drier,-0.082,-0.2,0.118
toothbrush,-0.021,-0.2,0.179
#,0.414,0.0,0.414
$,0.41,0.0,0.41
US$,0.854,0.0,0.854
C$,0.371,0.0,0.371
'',-0.222,0.0,0.222
",",0.163,0.0,0.163
Wa,0.444,0.05,0.394
.,0.025,0.0,0.025
?,0.297,0.0,0.297
!,-0.099,0.0,0.099
--,0.532,0.0,0.532
;,0.889,0.0,0.889
:,0.625,0.0,0.625
...,-0.043,0.0,0.043
-,0.597,0.0,0.597
and,0.644,0.1,0.544
or,0.216,0.0,0.216
But,0.364,0.1,0.264
but,0.364,0.0,0.364
million,0.387,0.05,0.337
billion,0.543,0.05,0.493
one,0.458,-0.5,0.958
two,0.503,-0.5,1.003
10,0.23,-0.5,0.73
the,0.365,-0.5,0.865
a,0.567,-0.5,1.067
The,0.365,-0.5,0.865
an,0.522,-0.5,1.022
this,0.237,-0.5,0.737
there,0.374,-0.5,0.874
There,0.374,-0.5,0.874
Perestroika,0.31,-0.2,0.51
besuboru,0.289,-0.1,0.389
de,0.383,-0.5,0.883
etc.,0.371,-0.5,0.871
of,0.386,-0.5,0.886
for,0.337,-0.5,0.837
on,0.171,-0.5,0.671
new,0.445,-0.2,0.645
other,0.429,-0.3,0.729
last,-0.062,-0.3,0.238
many,0.509,-0.3,0.809
higher,0.453,-0.1,0.553
lower,0.343,-0.1,0.443
largest,0.577,-0.2,0.777
least,0.248,-0.1,0.348
latest,0.325,-0.2,0.525
best,0.208,-0.1,0.308
1,0.589,-0.5,1.089
2,0.471,-0.5,0.971
3,0.429,-0.5,0.929
4,0.598,0.0,0.598
5,0.439,0.0,0.439
will,0.336,0.7,0.364
would,0.298,0.5,0.202
could,0.134,0.5,0.366
can,0.251,0.7,0.449
may,0.866,0.7,0.166
%,0.466,0.0,0.466
company,0.508,0.0,0.508
year,0.348,0.0,0.348
market,0.179,0.0,0.179
trading,0.491,0.8,0.309
Mr.,0.108,0.0,0.108
U.S.,0.62,0.0,0.62
New,0.445,0.0,0.445
Corp.,0.381,0.0,0.381
York,0.271,0.0,0.271
Containers,0.343,-0.5,0.843
Securities,0.679,-0.1,0.779
Industries,0.46,-0.2,0.66
Materials,0.426,-0.2,0.626
Soviets,0.467,0.0,0.467
years,0.312,0.0,0.312
shares,0.684,0.7,0.016
prices,0.407,0.8,0.393
cents,0.314,0.0,0.314
funds,0.658,0.8,0.142
all,0.42,0.0,0.42
such,0.42,0.0,0.42
half,0.356,0.0,0.356
Such,0.42,0.0,0.42
All,0.42,0.0,0.42
',-0.104,0.0,0.104
it,0.289,0.0,0.289
he,0.279,0.0,0.279
they,0.616,0.0,0.616
I,0.59,0.0,0.59
It,0.289,0.0,0.289
its,0.404,0.0,0.404
their,0.595,0.0,0.595
his,0.266,0.0,0.266
her,0.313,0.0,0.313
our,0.665,0.0,0.665
n't,0.446,-0.1,0.546
also,0.33,-0.1,0.43
not,0.627,-0.2,0.827
only,0.453,-0.1,0.553
even,0.243,-0.1,0.343
more,0.32,-0.05,0.37
earlier,0.167,0.1,0.067
less,0.329,-0.1,0.429
better,0.437,0.1,0.337
longer,0.267,0.1,0.167
most,0.573,-0.1,0.673
Most,0.573,-0.15,0.723
up,0.421,0.7,0.279
out,0.287,0.7,0.413
off,0.316,0.7,0.384
in,0.254,0.6,0.346
down,0.323,0.7,0.377
&,0.428,0.0,0.428
to,0.418,0.0,0.418
To,0.418,0.0,0.418
TO,0.418,0.0,0.418
OK,0.548,0.0,0.548
Oh,0.307,0.0,0.307
no,0.686,0.0,0.686
be,0.479,0.5,0.021
make,0.215,0.8,0.585
buy,0.41,0.8,0.39
take,0.395,0.8,0.405
said,0.065,0.6,0.535
was,0.238,-0.7,0.938
were,0.512,-0.7,1.212
had,0.354,-0.6,0.954
did,0.334,0.8,0.466
including,0.338,0.0,0.338
according,0.653,0.0,0.653
being,0.268,-0.5,0.768
growing,0.477,0.7,0.223
trying,0.586,0.8,0.214
been,0.336,-0.7,1.036
expected,0.578,0.0,0.578
made,0.132,0.8,0.668
compared,0.489,0.0,0.489
based,0.436,0.0,0.436
are,0.436,-0.7,1.136
have,0.429,-0.6,1.029
say,0.309,0.6,0.291
do,0.339,0.8,0.461
're,0.217,0.6,0.383
is,0.368,-1.0,1.368
has,0.365,0.6,0.235
says,0.086,0.8,0.714
's,0.098,-0.3,0.398
does,0.363,0.8,0.437
which,0.181,-0.9,1.081
that,0.394,-0.9,1.294
That,0.394,-0.9,1.294
THAT,0.394,-0.9,1.294
who,0.11,-0.7,0.81
what,0.319,-0.4,0.719
What,0.319,-0.4,0.719
whom,0.283,-0.7,0.983
Who,0.11,-0.7,0.81
whose,0.452,-1.0,1.452
when,0.09,-0.5,0.59
where,0.315,-0.6,0.915
how,0.451,0.2,0.251
When,0.09,-0.5,0.59
why,0.316,-0.2,0.516
``,0.141,-1.0,1.141
`,0.254,-1.0,1.254
